IATA,ICAO,Name,Country,City,Security level
TRC,MMTC,"FRANCISCO SARABIA, TORREON INT&#39;L",Mexico,TORREON,Domestic
DRS,EDDC,Dresden Airport,Germany,DRESDEN,International
MDE,SKRG,Jose Maria Cordova Int&#39;l,Colombia,MEDELLIN,International
MTT,MMMT,Minatitlan Coatzacoalcos Int&#39;l,Mexico,MINATITLAN,Domestic
MTY,MMMY,General Mariano Escobedo Int&#39;l,Mexico,MONTERREY,Domestic
RNO,KRNO,Reno/Tahoe International Airport,United States,RENO,International
GYE,SEGU,Aeropuerto Internacional José Joaquín de Olmedo,Ecuador,GUAYAQUIL,International
LSE,KLSE,La Crosse Regional Airport,United States,WISCONSIN RAPIDS,International
MDW,KMDW,Chicago Midway International Airport,United States,CHICAGO,International
GYR,KGYR,Phoenix Goodyear Airport,United States,,International
BOG,SKBO,El Dorado International,Colombia,BOGOTA,International
MUC,EDDM,Munich Airport,Germany,MUNICH,International
AMS,EHAM,Amsterdam Airport Schiphol,Netherlands,AMSTERDAM,International
DSV,KDSV,Dansville,United States,DANSVILLE,International
HKG,VHHH,Hong Kong,Hong Kong,HONG KONG,International
GIG,SBGL,Rio de Janeiro Galeao International Airport,,,
CAN,ZGGG,Aeropuerto Internacional Cantón Baiyun,China,Canton Baiyun,
NGO,RJGG,Chubu centrair International,Japan,NAGOYA,International
ANC,PANC,Ted Stevens Anchorage International,United States,ANCHORAGE,International
MEM,KMEM,Memphis International Airport,United States,MEMPHIS,International
MAR,SVMC,La Chinita Inernational Airport,"Venezuela, Bolivarian Republic of",MARACAY,International
UAM,PGUA,Andersen Air Force Base,Guam,GUAM,
YYZ,CYYZ,Toronto Pearson Int&#39;l,Canada,TORONTO,International
MAO,SBEG,Aeropuerto Internacional de Manaus,Brazil,MANAUS,International
PCA,MMPC,Aeropuerto Nacional de Pachuca,Mexico,MEXICO CITY,Domestic
VCV,KVCV,Southern California Logistics Airport,United States,SAN BERNARDINO,International
IZT,MMIT,Ixtepec Airport,Mexico,IXTEPEC,Domestic
VCP,SBKP, Aeropuerto Internacional de Viracopos,Brazil,CAMPINAS,International
PXM,MMPS,Puerto Escondido International,Mexico,PUERTO ESCONDIDO,Domestic
HYI,KHYI,San Marcos Regional Airport,United States,AUSTIN,International
SNN,EINN,Shannon Airport,Ireland,Limerick,
TPQ,MMEP,Amdo Nervo Int&#39;l,Mexico,TEPIC,Domestic
VDL,KVDL,Valdosta Regional Airport,United States,ATLANTA,International
PHX,KPHX,Phoenix Sky Harbor Int&#39;l,United States,PHOENIX,International
ZLO,MMZO,Playa de Oro,Mexico,MANZANILLO,Domestic
COS,KCOS,Colorado Springs Municipal,United States,COLORADO SPRINGS,International
MSJ,RMSJ,MISAWA JAPON,Japan,MISAWA,International
HIF,KHIF,HILL AIR FORCE BASE ,United States,OGDEN,International
MSP,KMSP,Minneapolis Saint Paul Int&#39;l,United States,MINNEAPOLIS,International
HIK,,Hickam AFB Airport,United States,HONOLULU,International
SOF,LBSF,Sofia Airport,Bulgaria,,
CPE,MMCP,Alberto Acuna Ongay,Mexico,CAMPECHE,Domestic
MCO,KMCO,Orlando Int&#39;l,United States,ORLANDO,International
ECP,KECP,Panama City International Airport,,,
TQO,MMTU,FELIPE CARRILLO PUERTO,Mexico,TULUM,Domestic
MCI,KMCI,Kansas City International Airport,United States,KANSAS CITY,International
MSY,KMSY,New Orleans Louis Armstrong International Airport,United States,NEW ORLEANS,International
MKC,KMKC,Aeropuerto Urbano Charles B. Wheeler,United States,KANSAS CITY,International
SUU,KSUU,Travis AFB,United States,FAIRFIELD,International
