Name,IATA code,UN code,Time zone,Latitude,Longitude,Country
MOCIMBOA DA PRAIA,MZB,MZB,Africa/Maputo,-11.35,40.35,Mozambique
Meridian,,MZA,America/Chicago,,,United States
MULTAN,MUX,MUX,Asia/Karachi,30.2,71.41667,Pakistan
MASCARA,MUW,MUW,Africa/Algiers,35.75,0.01667,Algeria
Le Luc,,LEL,Europe/Paris,,,France
MOUNT UNION,MUU,MUU,America/New_York,40.38333,-77.88333,United States
MUSCATINE,MUT,MUT,America/Chicago,41.35,-91.13333,United States
MINAMITORISHIMA,MUS,MUS,Asia/Tokyo,26.53333,142.15,Japan
MARUDI,MUR,MUR,Asia/Kuala_Lumpur,4.18333,114.3167,Malaysia
MUCCAN STATION,MUQ,MUQ,Europe/Berlin,-20.63333,120.0333,Australia
MULGA PARK,MUP,MUP,Australia/Darwin,-25.85,131.6,Australia
MOUNTAIN HOME,MUO,MUO,America/Denver,43.04333,-115.8725,United States
MATURIN,MUN,MUN,America/Caracas,9.75,-63.16667,"Venezuela, Bolivarian Republic of"
Mountain Home,,MUM,America/Denver,,,United States
MAUKE ISLAND,MUK,MUK,Pacific/Rarotonga,-20.15,-157.3833,Cook Islands
MUI,MUJ,MUJ,Africa/Addis_Ababa,6,36,Ethiopia
FORT INDIANTOWN,MUI,MUI,America/New_York,40.43472,-76.56917,United States
MERSA MATRUH,MUH,MUH,Africa/Cairo,31.33333,27.21667,Egypt
MULEGE,MUG,MUG,America/Mazatlan,26.88333,-112,Mexico
BARQUISIMETO,BRM,BRM,America/Caracas,10.06667,-69.33333,"Venezuela, Bolivarian Republic of"
MUTING,MUF,MUF,Asia/Jayapura,-7.38333,140.3333,Indonesia
KAMUELA,MUE,MUE,Pacific/Honolulu,20,-155.6833,United States
MUEDA,MUD,MUD,Africa/Maputo,-11.65,39.55,Mozambique
Slovenj Gradec,,SLG,Europe/Ljubljana,46.31,15.05,Slovenia
MUNICH,MUC,MUC,Europe/Berlin,48.35389,11.78611,Germany
MAUN,MUB,MUB,Africa/Gaborone,-19.96667,23.43333,Botswana
MUNDA,MUA,MUA,Pacific/Guadalcanal,-8.33333,157.4167,Solomon Islands
MASADA,MTZ,MTZ,Asia/Jerusalem,31.33333,35.38333,Israel
MONTERREY,MTY,MTY,America/Mexico_City,25.86667,-100.25,Mexico
MARTHAS VINEYARD,MVY,MVY,America/New_York,41.38333,-70.61667,United States
MINVOUL,MVX,MVX,Africa/Libreville,2.15,12.13333,Gabon
BURLINGTON MT VERNON,MVW,MVW,America/Los_Angeles,48.41667,-122.3333,United States
MEGEVE,MVV,MVV,Europe/Paris,45.82083,6.65222,France
MUSGRAVE,MVU,MVU,Australia/Brisbane,-14.16667,143.6833,Australia
Triengen,,TNG,Europe/Zurich,47.14,8.05,Switzerland
MATAIVA,MVT,MVT,Pacific/Tahiti,-14.88333,-148.6667,French Polynesia
MUCURI,MVS,MVS,America/Fortaleza,-18.08333,-39.56667,Brazil
MAROUA,MVR,MVR,Africa/Douala,10.45,14.25,Cameroon
MOGILEV,MVQ,MVQ,Europe/Minsk,53.95,30.13333,Belarus
MITU,MVP,MVP,America/Bogota,1.13333,-70.05,Colombia
MONGO,MVO,MVO,Africa/Ndjamena,12.2,18.78333,Chad
MT VERNON,MVN,MVN,America/Chicago,38.31667,-88.86667,United States
KAYENTA,MVM,MVM,America/Denver,36.73333,-110.2833,United States
STOWE,MVL,MVL,America/New_York,44.58333,-72.61667,United States
MULKA,MVK,MVK,Australia/Adelaide,-28.35,138.65,Australia
MANETAI,MVI,MVI,Pacific/Port_Moresby,-6,155.3333,Papua New Guinea
Oldenburg,,OLO,Europe/Berlin,53.1,8.12,Germany
MACKSVILLE,MVH,MVH,Australia/Sydney,-30.71667,152.9167,Australia
MEVANG,MVG,MVG,Africa/Libreville,0.08333,11.08333,Gabon
