[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Take off","NLU-TQO","VB","J","VB 7240","20JAN 07:45",
"Take off","NLU-TIJ","VB","J","VB 5069","20JAN 08:00",
"Take off","NLU-CVM","ZV","J","ZV 362","20JAN 08:00",
"Take off","NLU-CUU","VB","J","VB 7344","20JAN 08:00",
"Off block","NLU-VSA","VB","J","VB 7332","20JAN 08:05",
"TOBT confirmation","NLU-TQO","AM","J","AM 592","20JAN 08:16",
"Waiting for TOBT","NLU-CLQ","AM","J","AM 2436","20JAN 08:24",
"TOBT confirmation","NLU-TPQ","VB","J","VB 9428","20JAN 08:30",
"TOBT confirmation","NLU-CUN","VB","J","VB 2273","20JAN 08:30",
"Waiting for TOBT","NLU-PVR","VB","J","VB 7350","20JAN 08:35",
"TOBT confirmation","NLU-TQO","XN","J","XN 1780","20JAN 08:50",
"Departed from previous airport","NLU-ZIH","VB","J","VB 9312","20JAN 10:00",
"Flight activated","NLU-HUX","VB","J","VB 9294","20JAN 10:35",
"Flight activated","NLU-PQM","XN","J","XN 1922","20JAN 10:40",
"Flight activated","NLU-CUN","Y4","J","Y4 3533","20JAN 10:44",
"Flight activated","NLU-CTM","XN","J","XN 1732","20JAN 10:50",
"Flight activated","NLU-MTY","VB","J","VB 9402","20JAN 11:05",
"Flight activated","NLU-TGZ","VB","J","VB 7428","20JAN 12:10",
"Flight activated","NLU-MTY","VB","J","VB 7333","20JAN 12:20",
"Flight activated","NLU-MID","AM","J","AM 878","20JAN 12:23",
"Flight activated","NLU-CVM","ZV","J","ZV 360","20JAN 12:35",
"Flight activated","NLU-CUL","VB","J","VB 7416","20JAN 12:45",
"Flight activated","NLU-MID","VB","J","VB 7351","20JAN 13:00",
"Flight activated","NLU-GDL","VB","J","VB 7241","20JAN 13:10",
"Flight activated","NLU-BJX","VB","J","VB 7345","20JAN 13:35",
"Flight activated","NLU-SLW","VB","J","VB 9394","20JAN 13:35",
"Flight activated","NLU-NLD","VB","J","VB 9450","20JAN 13:35",
"Flight activated","NLU-PVR","AM","J","AM 880","20JAN 14:07",
"Flight activated","NLU-MID","XN","J","XN 1764","20JAN 14:30",
"Flight activated","NLU-LAP","Y4","J","Y4 7170","20JAN 15:22",
"Flight activated","NLU-MTY","VB","J","VB 9404","20JAN 15:40",
"Flight activated","NLU-CUN","VB","J","VB 2279","20JAN 15:45",
"Flight activated","NLU-CCS","V0","J","V0 3727","20JAN 16:00",
"Flight activated","NLU-TIJ","VB","J","VB 7429","20JAN 16:40",
"Flight activated","NLU-SLP","ZV","J","ZV 340","20JAN 17:10",
"Flight activated","NLU-GDL","Y4","J","Y4 1293","20JAN 17:15",
"Flight activated","NLU-DGO","AM","J","AM 2600","20JAN 17:35",
"Flight activated","NLU-CUN","AM","J","AM 1596","20JAN 17:41",
"Flight activated","NLU-ACA","VB","J","VB 7016","20JAN 17:55",
"Flight activated","NLU-TAM","VB","J","VB 7304","20JAN 18:10",
"Flight activated","NLU-CUN","VB","J","VB 7417","20JAN 18:10",
