[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"In block","YYZ-NLU","AC","F","AC 7248","05FEB 03:40","Take off","NLU-DFW","AC","F","AC 7248","05FEB 07:15",
"In block","ZAZ-NLU","EK","F","EK 9919","05FEB 02:05","Take off","NLU-UIO","EK","F","EK 9919","05FEB 05:20",
"In block","ANC-NLU","CV","F","CV 5163","05FEB 08:20","Take off","NLU-GDL","CV","F","CV 5164","05FEB 10:30",
"In block","CVG-NLU","W8","F","W8 952","04FEB 09:45","Take off","NLU-CVG","W8","F","W8 951","04FEB 21:00",
"In block","BOG-NLU","6R","F","6R 4276","05FEB 05:49","Waiting for TOBT","NLU-MIA","6R","F","6R 4276","06FEB 10:00",
"Flight activated","GUA-NLU","L3","F","L3 5218","05FEB 15:10","Flight activated","NLU-GUA","L3","F","L3 5217","05FEB 16:40",
"Flight scheduled","VSA-NLU","E7","F","E7 610","06FEB 00:05","Flight activated","NLU-SLP","E7","F","E7 610","06FEB 01:00",
"Flight scheduled","SLP-NLU","E7","F","E7 615","06FEB 05:00","Flight activated","NLU-MID","E7","F","E7 615","06FEB 05:30",
"Flight activated","LAX-NLU","6R","F","6R 7087","05FEB 18:25","Flight activated","NLU-SJO","6R","F","6R 7087","05FEB 20:05",
"Departed from previous airport","ANC-NLU","CA","F","CA 3125","05FEB 17:50","Flight activated","NLU-LAX","CA","H","CA 3126","05FEB 20:20",
"In block","GDL-NLU","W8","F","W8 920","05FEB 11:58","Flight activated","NLU-CVG","W8","F","W8 951","05FEB 21:00",
"Flight scheduled","YYZ-NLU","AC","F","AC 7246","06FEB 03:40","Flight activated","NLU-GDL","AC","F","AC 7246","06FEB 07:15",
"In block","SDF-NLU","5X","F","5X 320","05FEB 07:15","Flight activated","NLU-SDF","5X","F","5X 321","05FEB 20:29",
"Flight scheduled","GDL-NLU","M7","F","M7 6845","05FEB 23:30","Flight activated","NLU-VCP","M7","F","M7 6441","06FEB 01:30",
"Flight scheduled","FRA-NLU","LH","F","LH 8224","05FEB 16:10","Flight activated","NLU-GDL","LH","F","LH 8225","05FEB 18:40",
"Flight activated","FRA-NLU","EK","F","EK 9935","06FEB 02:05","Flight activated","NLU-IAH","EK","F","EK 9936","06FEB 04:35",
"Departed from previous airport","LUX-NLU","CV","F","CV 6684","05FEB 23:00","Flight activated","NLU-GDL","CV","F","CV 6694","06FEB 01:00",
"In block","CVG-NLU","W8","F","W8 952","05FEB 09:45","Flight activated","NLU-GDL","W8","F","W8 919","05FEB 17:40",
"Flight scheduled","ANC-NLU","M7","F","M7 3228E","05FEB 21:45","Flight activated","NLU-SJO","M7","F","M7 8741","06FEB 01:20",
"Flight scheduled","GDL-NLU","M7","F","M7 8857","06FEB 12:35","Flight scheduled","NLU-UIO","M7","F","M7 8751","06FEB 14:35",
"Flight scheduled","UIO-NLU","M7","F","M7 8774","08FEB 02:20","Flight scheduled","NLU-SCL","M7","F","M7 6471","08FEB 13:30",
"Flight scheduled","UIO-NLU","M7","F","M7 8752","07FEB 01:30","Flight scheduled","NLU-PTY","M7","F","M7 6710","07FEB 08:00",
"Flight scheduled","GDL-NLU","6R","F","6R 7088","08FEB 23:59","Flight scheduled","NLU-MIA","6R","F","6R 7086","09FEB 01:44",
"Flight scheduled","MGA-NLU","WH","F","WH 902","07FEB 01:52","Flight scheduled","NLU-PTY","WH","F","WH 903","07FEB 03:00",
"Flight scheduled","ANC-NLU","CZ","F","CZ 2541","08FEB 17:35","Flight scheduled","NLU-PVG","CZ","F","CZ 2542","08FEB 20:05",
"Flight scheduled","MID-NLU","E7","F","E7 612","07FEB 22:30","Flight scheduled","NLU-SLP","E7","F","E7 612","07FEB 23:00",
"Flight scheduled","LGG-NLU","TK","F","TK 6033","08FEB 13:30","Flight scheduled","NLU-IAH","TK","F","TK 6034","08FEB 16:00",
"Flight scheduled","SDF-NLU","5X","F","5X 320","06FEB 07:15","Flight scheduled","NLU-SDF","5X","F","5X 321","06FEB 20:29",
"Flight scheduled","LAX-NLU","M7","F","M7 8861","07FEB 04:45","Flight scheduled","NLU-LAX","M7","F","M7 3114","09FEB 13:15",
"Flight scheduled","BOG-NLU","M7","F","M7 8372","07FEB 23:30","Flight scheduled","NLU-LAX","M7","F","M7 8876","08FEB 04:20",
"Flight scheduled","GDL-NLU","M7","F","M7 6851","07FEB 06:00","Flight scheduled","NLU-UIO","M7","F","M7 8763","07FEB 15:20",
"Flight scheduled","FRA-NLU","LH","F","LH 8222","06FEB 20:05","Flight scheduled","NLU-MTY","LH","F","LH 8223","06FEB 22:35",
