[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"In block","TQO-NLU","AM","J","AM 593","02FEB 13:17","Take off","NLU-PVR","AM","J","AM 880","02FEB 14:11",
"In block","TQO-NLU","XN","J","XN 1781","02FEB 13:35","Take off","NLU-PVR","XN","J","XN 1442","02FEB 14:35",
"In block","HUX-NLU","VB","J","VB 9295","02FEB 13:55","Take off","NLU-MAM","VB","J","VB 9532","02FEB 14:45",
"In block","CPE-NLU","XN","J","XN 1701","02FEB 14:40","Take off","NLU-MID","XN","J","XN 1764","02FEB 15:40",
"In block","CUN-NLU","VB","J","VB 7008","02FEB 15:05","Take off","NLU-OAX","VB","J","VB 7008","02FEB 15:40",
"In block","MTY-NLU","VB","J","VB 7383","02FEB 14:45","Take off","NLU-MTY","VB","J","VB 7820","02FEB 15:50",
"In block","TGZ-NLU","VB","J","VB 7429","02FEB 15:45","Take off","NLU-TIJ","VB","J","VB 7429","02FEB 16:25",
"In block","TIJ-NLU","VB","J","VB 5070","02FEB 15:35","Take off","NLU-ACA","VB","J","VB 9296","02FEB 16:30",
"In block","CVM-NLU","XN","J","XN 1143","02FEB 14:10","Take off","NLU-MZT","XN","J","XN 1264","02FEB 16:45",
"In block","PUJ-NLU","DM","J","DM 7100","02FEB 15:56","Take off","NLU-PUJ","DM","J","DM 7101","02FEB 16:56",
"In block","CVM-NLU","ZV","J","ZV 363","02FEB 12:05","Take off","NLU-SLP","ZV","J","ZV 340","02FEB 17:10",
"In block","CUN-NLU","Y4","J","Y4 3532","02FEB 16:20","Take off","NLU-GDL","Y4","J","Y4 1293","02FEB 17:15",
"In block","MID-NLU","AM","J","AM 875","02FEB 16:55","Take off","NLU-DGO","AM","J","AM 2600","02FEB 17:35",
"In block","CUN-NLU","AM","J","AM 591","29JAN 11:56","Take off","NLU-CUN","AM","J","AM 596","02FEB 17:41",
"In block","SJD-NLU","Y4","J","Y4 7121","02FEB 17:04","Take off","NLU-MID","Y4","J","Y4 7110","02FEB 17:43",
"In block","MTY-NLU","VB","J","VB 4410","02FEB 17:35","Take off","NLU-MTY","VB","J","VB 4411","02FEB 18:05",
"In block","CUL-NLU","VB","J","VB 7417","02FEB 17:25","Take off","NLU-CUN","VB","J","VB 7417","02FEB 18:10",
"In block","GDL-NLU","VB","J","VB 7304","02FEB 17:40","Take off","NLU-TAM","VB","J","VB 7304","02FEB 18:10",
"In block","REX-NLU","VB","J","VB 9387","02FEB 17:25","Take off","NLU-HMO","VB","J","VB 9304","02FEB 18:20",
"In block","MZT-NLU","VB","J","VB 9235","02FEB 17:40","Take off","NLU-SJD","VB","J","VB 9496","02FEB 18:25",
"In block","CJS-NLU","VB","J","VB 7434","02FEB 17:55","Take off","NLU-VER","VB","J","VB 7434","02FEB 18:35",
"In block","MTY-NLU","VB","J","VB 4412","02FEB 18:05","Take off","NLU-MTY","VB","J","VB 4413","02FEB 18:50",
"In block","CUN-NLU","VB","J","VB 2284","02FEB 18:35","Take off","NLU-PXM","VB","J","VB 7282","02FEB 18:50",
"In block","SLW-NLU","VB","J","VB 9395","02FEB 17:15","Take off","NLU-BOG","VB","J","VB 770","02FEB 19:00",
"In block","MAM-NLU","VB","J","VB 9533","02FEB 18:20","Take off","NLU-GDL","VB","J","VB 9522","02FEB 19:00",
"In block","OAX-NLU","VB","J","VB 7009","02FEB 18:25","Take off","NLU-CUN","VB","J","VB 7009","02FEB 19:00",
"In block","MID-NLU","VB","J","VB 7282","02FEB 18:10","Take off","NLU-MID","VB","J","VB 9410","02FEB 19:15",
"In block","IZT-NLU","XN","J","XN 1993","02FEB 15:30","Take off","NLU-MTY","XN","J","XN 1106","02FEB 19:20",
"In block","PVR-NLU","XN","J","XN 1443","02FEB 17:55","Take off","NLU-GDL","XN","J","XN 1436","02FEB 20:00",
"In block","PVR-NLU","AM","J","AM 881","02FEB 20:00","Take off","NLU-OAX","AM","J","AM 2042","02FEB 20:35",
"In block","MTY-NLU","AM","J","AM 995Z","02FEB 20:14","Take off","NLU-GDL","AM","J","AM 284","02FEB 20:54",
"In block","OAX-NLU","AM","J","AM 2041","02FEB 20:50","Take off","NLU-VER","AM","J","AM 872","02FEB 21:30",
"In block","TAM-NLU","VB","J","VB 7305","02FEB 21:00","Take off","NLU-GDL","VB","J","VB 7305","02FEB 21:30",
"In block","SJD-NLU","XN","J","XN 1233","02FEB 15:25","Take off","NLU-TIJ","XN","J","XN 1204","02FEB 21:55",
"In block","DGO-NLU","AM","J","AM 2469","02FEB 21:17","Take off","NLU-MTY","AM","J","AM 998","02FEB 21:57",
"In block","VER-NLU","VB","J","VB 7435","02FEB 21:30","Take off","NLU-CJS","VB","J","VB 7435","02FEB 22:10",
"In block","PXM-NLU","VB","J","VB 7283","02FEB 22:10","Take off","NLU-MID","VB","J","VB 7283","02FEB 22:50",
"In block","TIJ-NLU","Y4","J","Y4 3296","02FEB 22:37","Take off","NLU-TIJ","Y4","J","Y4 3297","02FEB 23:19",
"In block","SDQ-NLU","DM","J","DM 4158","02FEB 22:44","Take off","NLU-SDQ","DM","J","DM 4159","02FEB 23:44",
"In block","ACA-NLU","VB","J","VB 9297","02FEB 19:25","Take off","NLU-HAV","VB","J","VB 842","03FEB 06:00",
"In block","MTY-NLU","XN","J","XN 1107","02FEB 22:55","Take off","NLU-MTY","XN","J","XN 1100","03FEB 06:00",
"In block","SJD-NLU","VB","J","VB 9497","02FEB 23:20","Take off","NLU-GDL","VB","J","VB 9520","03FEB 06:00",
"In block","MTY-NLU","VB","J","VB 9405","03FEB 00:25","Take off","NLU-MTY","VB","J","VB 7378","03FEB 06:00",
"In block","GDL-NLU","Y4","J","Y4 1292","02FEB 20:28","Take off","NLU-MID","Y4","J","Y4 7110","03FEB 06:09",
"In block","CUN-NLU","VB","J","VB 2288","02FEB 23:50","Take off","NLU-CUN","VB","J","VB 2281","03FEB 06:20",
"In block","MID-NLU","Y4","J","Y4 7111","02FEB 21:53","Take off","NLU-GDL","Y4","J","Y4 1291","03FEB 06:30",
"In block","GDL-NLU","XN","J","XN 1437","02FEB 23:00","Take off","NLU-GDL","XN","J","XN 1430","03FEB 06:30",
"In block","BOG-NLU","VB","J","VB 771","03FEB 05:15","Take off","NLU-PXM","VB","J","VB 9222","03FEB 06:40",
"In block","HMO-NLU","VB","J","VB 9305","03FEB 00:20","Take off","NLU-TIJ","VB","J","VB 5069","03FEB 08:00",
"In block","GDL-NLU","VB","J","VB 7240","03FEB 07:15","Take off","NLU-TQO","VB","J","VB 7240","03FEB 08:00",
"In block","SLP-NLU","ZV","J","ZV 341","03FEB 07:30","Take off","NLU-CVM","ZV","J","ZV 362","03FEB 08:00",
"In block","BJX-NLU","VB","J","VB 7344","03FEB 07:30","Take off","NLU-CUU","VB","J","VB 7344","03FEB 08:00",
"In block","MTY-NLU","VB","J","VB 7332","03FEB 07:35","Take off","NLU-VSA","VB","J","VB 7332","03FEB 08:05",
"In block","GDL-NLU","AM","J","AM 287","03FEB 07:35","Take off","NLU-TQO","AM","J","AM 592","03FEB 08:16",
"In block","VER-NLU","AM","J","AM 871","03FEB 07:44","Take off","NLU-CLQ","AM","J","AM 2436","03FEB 08:24",
"In block","GDL-NLU","VB","J","VB 9523","02FEB 22:10","Take off","NLU-TPQ","VB","J","VB 9428","03FEB 08:30",
"In block","CUN-NLU","VB","J","VB 2272","03FEB 07:30","Take off","NLU-CUN","VB","J","VB 2273","03FEB 08:30",
"In block","MID-NLU","VB","J","VB 7350","03FEB 07:55","Take off","NLU-PVR","VB","J","VB 7350","03FEB 08:35",
"In block","MZT-NLU","XN","J","XN 1265","02FEB 20:35","Take off","NLU-TQO","XN","J","XN 1780","03FEB 08:50",
"In block","GDL-NLU","VB","J","VB 9521","03FEB 09:15","Take off","NLU-ZIH","VB","J","VB 9312","03FEB 10:00",
"In block","PXM-NLU","VB","J","VB 9223","03FEB 09:50","Take off","NLU-HUX","VB","J","VB 9294","03FEB 10:35",
"In block","GDL-NLU","XN","J","XN 1431","03FEB 09:30","Take off","NLU-PQM","XN","J","XN 1922","03FEB 10:40",
"In block","GDL-NLU","Y4","J","Y4 1290","03FEB 09:43","Take off","NLU-CUN","Y4","J","Y4 3533","03FEB 10:44",
"In block","MTY-NLU","XN","J","XN 1101","03FEB 09:40","Take off","NLU-CTM","XN","J","XN 1732","03FEB 10:50",
"In block","MID-NLU","VB","J","VB 9411","02FEB 23:40","Take off","NLU-MTY","VB","J","VB 9402","03FEB 11:05",
"In block","TIJ-NLU","VB","J","VB 7428","03FEB 11:15","Take off","NLU-TGZ","VB","J","VB 7428","03FEB 11:55",
"In block","VSA-NLU","VB","J","VB 7333","03FEB 11:45","Take off","NLU-MTY","VB","J","VB 7333","03FEB 12:20",
"In block","CLQ-NLU","AM","J","AM 2437","03FEB 11:43","Take off","NLU-MID","AM","J","AM 878","03FEB 12:23",
"In block","CVM-NLU","ZV","J","ZV 363","03FEB 12:05","Take off","NLU-CVM","ZV","J","ZV 360","03FEB 12:35",
"In block","CUN-NLU","VB","J","VB 7416","03FEB 12:00","Take off","NLU-CUL","VB","J","VB 7416","03FEB 12:50",
"In block","PVR-NLU","VB","J","VB 7351","03FEB 12:20","Take off","NLU-MID","VB","J","VB 7351","03FEB 13:00",
"In block","TPQ-NLU","VB","J","VB 9429","03FEB 12:10","Take off","NLU-SLW","VB","J","VB 9394","03FEB 13:35",
"In block","ZIH-NLU","VB","J","VB 9313","03FEB 12:45","Take off","NLU-NLD","VB","J","VB 9450","03FEB 13:35",
"In block","CUU-NLU","VB","J","VB 7345","03FEB 13:05","Take off","NLU-BJX","VB","J","VB 7345","03FEB 13:35",
"In block","TQO-NLU","VB","J","VB 7241","03FEB 12:55","Take off","NLU-GDL","VB","J","VB 7241","03FEB 13:40",
"In block","TQO-NLU","AM","J","AM 593","03FEB 13:17","Take off","NLU-PVR","AM","J","AM 880","03FEB 14:11",
"In block","TQO-NLU","XN","J","XN 1781","03FEB 13:35","Take off","NLU-MID","XN","J","XN 1764","03FEB 14:30",
"In block","HUX-NLU","VB","J","VB 9295","03FEB 13:55","Take off","NLU-MAM","VB","J","VB 9532","03FEB 14:45",
"In block","MID-NLU","Y4","J","Y4 7113","03FEB 14:41","Take off","NLU-LAP","Y4","J","Y4 7170","03FEB 15:22",
"In block","CUN-NLU","VB","J","VB 2278","03FEB 15:05","Take off","NLU-CUN","VB","J","VB 2279","03FEB 15:45",
"In block","CCS-NLU","V0","J","V0 3726","03FEB 13:00","Take off","NLU-CCS","V0","J","V0 3727","03FEB 16:00",
"In block","TGZ-NLU","VB","J","VB 7429","03FEB 15:45","Take off","NLU-TIJ","VB","J","VB 7429","03FEB 16:25",
"In block","CVM-NLU","ZV","J","ZV 361","03FEB 16:40","Take off","NLU-SLP","ZV","J","ZV 340","03FEB 17:10",
"In block","CUN-NLU","Y4","J","Y4 3532","03FEB 16:20","Take off","NLU-GDL","Y4","J","Y4 1293","03FEB 17:15",
"In block","MID-NLU","AM","J","AM 875","03FEB 16:55","Take off","NLU-DGO","AM","J","AM 2600","03FEB 17:35",
"In block","CUN-NLU","AM","J","AM 591","03FEB 11:56","Take off","NLU-CUN","AM","J","AM 1596","03FEB 17:41",
"In block","MTY-NLU","VB","J","VB 7016","03FEB 17:25","Take off","NLU-ACA","VB","J","VB 7016","03FEB 17:55",
"In block","CUL-NLU","VB","J","VB 7417","03FEB 17:25","Take off","NLU-CUN","VB","J","VB 7417","03FEB 18:10",
"In block","GDL-NLU","VB","J","VB 7304","03FEB 17:40","Take off","NLU-TAM","VB","J","VB 7304","03FEB 18:10",
"In block","MTY-NLU","AM","J","AM 995","03FEB 17:00","Take off","NLU-GDL","AM","J","AM 284","03FEB 18:18",
"In block","NLD-NLU","VB","J","VB 9451","03FEB 17:30","Take off","NLU-HMO","VB","J","VB 9304","03FEB 18:20",
"In block","PVR-NLU","AM","J","AM 881","03FEB 17:55","Take off","NLU-OAX","AM","J","AM 2042","03FEB 18:35",
"In block","MTY-NLU","VB","J","VB 9401","03FEB 10:20","Take off","NLU-MID","VB","J","VB 6017","03FEB 18:55",
"In block","SLW-NLU","VB","J","VB 9395","03FEB 17:15","Take off","NLU-BOG","VB","J","VB 770","03FEB 19:00",
"In block","PQM-NLU","XN","J","XN 1923","03FEB 14:45","Take off","NLU-MTY","XN","J","XN 1106","03FEB 19:20",
"In block","MID-NLU","XN","J","XN 1765","03FEB 18:50","Take off","NLU-GDL","XN","J","XN 1436","03FEB 20:00",
"In block","ACA-NLU","VB","J","VB 7017","03FEB 20:50","Take off","NLU-MTY","VB","J","VB 7017","03FEB 21:20",
"In block","OAX-NLU","AM","J","AM 2041","03FEB 20:50","Take off","NLU-VER","AM","J","AM 872","03FEB 21:30",
"In block","TAM-NLU","VB","J","VB 7305","03FEB 21:00","Take off","NLU-GDL","VB","J","VB 7305","03FEB 21:30",
"In block","CTM-NLU","XN","J","XN 1733","03FEB 15:25","Take off","NLU-TIJ","XN","J","XN 1204","03FEB 21:55",
"In block","DGO-NLU","AM","J","AM 2469","03FEB 21:17","Take off","NLU-MTY","AM","J","AM 998","03FEB 21:57",
"In block","CJS-NLU","VB","J","VB 9329","03FEB 17:55","Take off","NLU-CJS","VB","J","VB 9328","03FEB 22:10",
"In block","TIJ-NLU","Y4","J","Y4 3296","03FEB 22:37","Take off","NLU-TIJ","Y4","J","Y4 3297","03FEB 23:19",
"In block","PUJ-NLU","DM","J","DM 7104","03FEB 23:32","Take off","NLU-PUJ","DM","J","DM 7105","04FEB 00:32",
"In block","GDL-NLU","Y4","J","Y4 1292","03FEB 20:28","Take off","NLU-BOG","Y4","J","Y4 3960","04FEB 00:36",
"In block","MTY-NLU","VB","J","VB 7379","03FEB 14:50","Take off","NLU-MID","VB","J","VB 9412","04FEB 06:00",
"In block","TIJ-NLU","VB","J","VB 5070","03FEB 15:35","Take off","NLU-GDL","VB","J","VB 9520","04FEB 06:00",
"In block","MID-NLU","VB","J","VB 6016","03FEB 18:10","Take off","NLU-MTY","VB","J","VB 7382","04FEB 06:00",
"In block","GDL-NLU","XN","J","XN 1437","03FEB 23:00","Take off","NLU-MTY","XN","J","XN 1100","04FEB 06:00",
"In block","CUN-NLU","VB","J","VB 2288","03FEB 23:50","Take off","NLU-CUN","VB","J","VB 2281","04FEB 06:20",
"In block","LAP-NLU","Y4","J","Y4 7171","03FEB 20:23","Take off","NLU-GDL","Y4","J","Y4 1291","04FEB 06:30",
"In block","MTY-NLU","XN","J","XN 1107","03FEB 22:55","Take off","NLU-GDL","XN","J","XN 1430","04FEB 06:30",
"In block","HMO-NLU","VB","J","VB 9305","04FEB 00:20","Take off","NLU-PXM","VB","J","VB 9222","04FEB 06:40",
"In block","MID-NLU","XN","J","XN 1765","02FEB 20:00","Take off","NLU-MID","XN","J","XN 1760","04FEB 06:50",
"In block","HAV-NLU","VB","J","VB 843","03FEB 12:55","Take off","NLU-TIJ","VB","J","VB 5069","04FEB 08:00",
"In block","GDL-NLU","VB","J","VB 7240","04FEB 07:15","Take off","NLU-TQO","VB","J","VB 7240","04FEB 08:00",
"In block","BJX-NLU","VB","J","VB 7344","04FEB 07:30","Take off","NLU-CUU","VB","J","VB 7344","04FEB 08:00",
"In block","MTY-NLU","VB","J","VB 7332","04FEB 07:35","Take off","NLU-VSA","VB","J","VB 7332","04FEB 08:05",
"In block","GDL-NLU","AM","J","AM 287","04FEB 07:35","Take off","NLU-TQO","AM","J","AM 592","04FEB 08:16",
"In block","MAM-NLU","VB","J","VB 9533","03FEB 18:20","Take off","NLU-NLD","VB","J","VB 9450","04FEB 08:20",
"In block","VER-NLU","AM","J","AM 871","04FEB 07:44","Take off","NLU-CLQ","AM","J","AM 2436","04FEB 08:24",
"In block","BOG-NLU","VB","J","VB 771","04FEB 05:15","Take off","NLU-CTM","VB","J","VB 9462","04FEB 08:25",
"In block","CUN-NLU","VB","J","VB 2272","04FEB 07:30","Take off","NLU-CUN","VB","J","VB 2273","04FEB 08:30",
"In block","MID-NLU","VB","J","VB 7350","04FEB 07:55","Take off","NLU-PVR","VB","J","VB 7350","04FEB 08:35",
"In block","TIJ-NLU","XN","J","XN 1205","04FEB 05:30","Take off","NLU-TQO","XN","J","XN 1780","04FEB 08:50",
"In block","GDL-NLU","VB","J","VB 9521","04FEB 09:15","Take off","NLU-ZIH","VB","J","VB 9312","04FEB 10:00",
"In block","GDL-NLU","XN","J","XN 1431","04FEB 09:30","Take off","NLU-CPE","XN","J","XN 1700","04FEB 10:30",
"In block","PXM-NLU","VB","J","VB 9223","04FEB 09:50","Take off","NLU-HUX","VB","J","VB 9294","04FEB 10:35",
"In block","GDL-NLU","Y4","J","Y4 1290","04FEB 09:43","Take off","NLU-CUN","Y4","J","Y4 3533","04FEB 10:44",
"In block","MTY-NLU","XN","J","XN 1101","04FEB 09:40","Off block","NLU-CVM","XN","J","XN 1142","04FEB 11:00",
"In block","MTY-NLU","VB","J","VB 9401","04FEB 10:20","Off block","NLU-MTY","VB","J","VB 9402","04FEB 11:05",
"In block","TIJ-NLU","VB","J","VB 7428","04FEB 11:15","Waiting for TOBT","NLU-TGZ","VB","J","VB 7428","04FEB 11:55",
"In block","MID-NLU","XN","J","XN 1761","04FEB 11:10","Waiting for TOBT","NLU-IZT","XN","J","XN 1992","04FEB 12:10",
"Landed","BOG-NLU","Y4","J","Y4 3961","04FEB 10:49","TOBT confirmation","NLU-SJD","Y4","J","Y4 7120","04FEB 12:14",
"Landed","CPE-NLU","XN","J","XN 1701","04FEB 14:40","Flight activated","NLU-TQO","XN","J","XN 1780","05FEB 08:50",
